================================================================================
🚀 [Vitara AI] Training Started at 2026-05-19 14:04:56 WIB
================================================================================
Epoch 001 | 15.4s | accuracy: 0.8308 | auc: 0.8836 | loss: 0.4389 | val_accuracy: 0.8797 | val_auc: 0.9543 | val_loss: 0.4688
Epoch 002 | 1.0s | accuracy: 0.8771 | auc: 0.9281 | loss: 0.3401 | val_accuracy: 0.9169 | val_auc: 0.9729 | val_loss: 0.3782
Epoch 003 | 0.8s | accuracy: 0.8856 | auc: 0.9443 | loss: 0.3000 | val_accuracy: 0.9284 | val_auc: 0.9771 | val_loss: 0.3175
Epoch 004 | 0.9s | accuracy: 0.8992 | auc: 0.9537 | loss: 0.2751 | val_accuracy: 0.9198 | val_auc: 0.9795 | val_loss: 0.2258
Epoch 005 | 1.2s | accuracy: 0.9024 | auc: 0.9552 | loss: 0.2718 | val_accuracy: 0.9341 | val_auc: 0.9833 | val_loss: 0.1962
Epoch 006 | 1.3s | accuracy: 0.9131 | auc: 0.9655 | loss: 0.2381 | val_accuracy: 0.9284 | val_auc: 0.9836 | val_loss: 0.1852
Epoch 007 | 0.9s | accuracy: 0.9195 | auc: 0.9687 | loss: 0.2255 | val_accuracy: 0.9398 | val_auc: 0.9843 | val_loss: 0.1912
Epoch 008 | 0.8s | accuracy: 0.9241 | auc: 0.9760 | loss: 0.2013 | val_accuracy: 0.9542 | val_auc: 0.9879 | val_loss: 0.1464
Epoch 009 | 0.8s | accuracy: 0.9344 | auc: 0.9788 | loss: 0.1894 | val_accuracy: 0.9341 | val_auc: 0.9884 | val_loss: 0.1436
Epoch 010 | 1.1s | accuracy: 0.9337 | auc: 0.9824 | loss: 0.1725 | val_accuracy: 0.9427 | val_auc: 0.9912 | val_loss: 0.1269
Epoch 011 | 0.8s | accuracy: 0.9426 | auc: 0.9846 | loss: 0.1599 | val_accuracy: 0.9628 | val_auc: 0.9881 | val_loss: 0.1291
Epoch 012 | 0.8s | accuracy: 0.9530 | auc: 0.9890 | loss: 0.1336 | val_accuracy: 0.9312 | val_auc: 0.9923 | val_loss: 0.1783
Epoch 013 | 0.8s | accuracy: 0.9544 | auc: 0.9915 | loss: 0.1158 | val_accuracy: 0.9169 | val_auc: 0.9693 | val_loss: 0.3336
Epoch 014 | 0.8s | accuracy: 0.9644 | auc: 0.9949 | loss: 0.0880 | val_accuracy: 0.9513 | val_auc: 0.9946 | val_loss: 0.1396
Epoch 015 | 0.8s | accuracy: 0.9629 | auc: 0.9944 | loss: 0.0952 | val_accuracy: 0.9828 | val_auc: 0.9964 | val_loss: 0.0649
Epoch 016 | 1.0s | accuracy: 0.9711 | auc: 0.9946 | loss: 0.0858 | val_accuracy: 0.9943 | val_auc: 0.9994 | val_loss: 0.0311
Epoch 017 | 2.5s | accuracy: 0.9726 | auc: 0.9956 | loss: 0.0783 | val_accuracy: 0.9771 | val_auc: 0.9996 | val_loss: 0.0539
Epoch 018 | 1.0s | accuracy: 0.9704 | auc: 0.9959 | loss: 0.0701 | val_accuracy: 0.9857 | val_auc: 0.9997 | val_loss: 0.0302
Epoch 019 | 0.9s | accuracy: 0.9729 | auc: 0.9959 | loss: 0.0753 | val_accuracy: 0.9685 | val_auc: 0.9999 | val_loss: 0.0615
Epoch 020 | 0.8s | accuracy: 0.9662 | auc: 0.9950 | loss: 0.0817 | val_accuracy: 0.9943 | val_auc: 0.9997 | val_loss: 0.0292
Epoch 021 | 0.8s | accuracy: 0.9644 | auc: 0.9951 | loss: 0.0859 | val_accuracy: 0.9943 | val_auc: 0.9998 | val_loss: 0.0348
Epoch 022 | 0.8s | accuracy: 0.9751 | auc: 0.9973 | loss: 0.0614 | val_accuracy: 0.9885 | val_auc: 0.9994 | val_loss: 0.0364
Epoch 023 | 0.8s | accuracy: 0.9758 | auc: 0.9964 | loss: 0.0672 | val_accuracy: 0.9943 | val_auc: 0.9997 | val_loss: 0.0258
Epoch 024 | 0.8s | accuracy: 0.9726 | auc: 0.9959 | loss: 0.0773 | val_accuracy: 0.9799 | val_auc: 0.9997 | val_loss: 0.0390
Epoch 025 | 0.8s | accuracy: 0.9676 | auc: 0.9962 | loss: 0.0750 | val_accuracy: 0.9885 | val_auc: 0.9997 | val_loss: 0.0241
Epoch 026 | 0.8s | accuracy: 0.9811 | auc: 0.9987 | loss: 0.0491 | val_accuracy: 0.9943 | val_auc: 0.9998 | val_loss: 0.0205
Epoch 027 | 0.9s | accuracy: 0.9797 | auc: 0.9982 | loss: 0.0529 | val_accuracy: 0.9885 | val_auc: 0.9998 | val_loss: 0.0219
Epoch 028 | 1.1s | accuracy: 0.9776 | auc: 0.9979 | loss: 0.0573 | val_accuracy: 0.9943 | val_auc: 0.9997 | val_loss: 0.0204
Epoch 029 | 2.2s | accuracy: 0.9797 | auc: 0.9977 | loss: 0.0549 | val_accuracy: 0.9885 | val_auc: 0.9998 | val_loss: 0.0236
Epoch 030 | 0.8s | accuracy: 0.9772 | auc: 0.9978 | loss: 0.0560 | val_accuracy: 0.9943 | val_auc: 0.9999 | val_loss: 0.0199
Epoch 031 | 0.8s | accuracy: 0.9779 | auc: 0.9971 | loss: 0.0581 | val_accuracy: 0.9943 | val_auc: 0.9998 | val_loss: 0.0205
Epoch 032 | 1.1s | accuracy: 0.9811 | auc: 0.9987 | loss: 0.0456 | val_accuracy: 0.9943 | val_auc: 0.9998 | val_loss: 0.0195
